Hour,Minute,Second,Leq1s
0,3,34,49.52
0,3,35,48.68
0,3,36,44.2
0,3,37,40.31
0,3,38,38.95
0,3,39,38.18
0,3,40,38.29
0,3,41,38.56
0,3,42,37.37
0,3,43,60.57
0,3,44,37.69
0,3,45,38.31
0,3,46,36.25
0,3,47,81.68
0,3,48,37.44
0,3,49,37.67
0,3,50,35.76
0,3,51,36.59
0,3,52,37.0
0,3,54,60.57
0,3,55,36.18
0,3,56,36.0
0,3,57,35.83
0,3,58,36.49
0,3,59,36.85
0,4,0,36.27
0,4,1,35.96
0,4,2,37.74
0,4,3,36.89
0,4,4,60.58
0,4,5,41.39
0,4,6,41.52
0,4,7,40.58
0,4,8,42.51
0,4,9,44.74
0,4,10,47.94
0,4,11,50.87
0,4,12,49.52
0,4,13,42.33
0,4,14,60.59
0,4,15,43.33
0,4,16,39.62
0,4,17,44.09
0,4,18,41.74
0,4,19,41.81
0,4,20,41.79
0,4,21,41.91
0,4,22,40.65
0,4,23,39.18
0,4,24,60.52
0,4,25,35.93
0,4,26,36.21
0,4,27,36.0
0,4,28,34.81
0,4,29,36.53
0,4,30,35.91
0,4,31,35.67
0,4,32,35.7
0,4,33,35.22
0,4,34,60.54
0,4,35,34.14
0,4,36,35.19
0,4,37,36.06
0,4,38,34.71
0,4,39,36.05
0,4,40,35.36
0,4,41,35.24
0,4,42,34.12
0,4,43,33.49
0,4,44,60.59
0,4,45,36.88
0,4,46,35.24
0,4,47,39.13
0,4,48,38.93
0,4,49,38.29
0,4,50,36.8
0,4,51,36.89
0,4,52,37.57
0,4,53,37.23
0,4,54,60.61
0,4,55,35.97
0,4,56,35.65
0,4,57,35.4
0,4,58,33.82
0,4,59,35.16
0,5,0,34.54
0,5,1,35.47
0,5,2,36.01
0,5,3,36.0
0,5,4,60.55
0,5,5,36.29
0,5,6,34.37
0,5,7,34.39
0,5,8,34.51
0,5,9,35.84
0,5,10,35.89
0,5,11,36.99
0,5,12,35.35
0,5,13,35.88
0,5,14,60.5
0,5,15,34.8
0,5,16,34.26
0,5,17,33.77
0,5,18,33.45
0,5,19,33.59
0,5,20,33.64
0,5,21,35.12
0,5,22,35.17
0,5,23,36.19
0,5,24,60.61
0,5,25,35.64
0,5,26,35.02
0,5,27,35.19
0,5,28,35.86
0,5,29,34.9
0,5,30,35.21
0,5,31,35.29
0,5,32,35.37
0,5,33,34.95
0,5,34,60.56
0,5,35,34.32
0,5,36,34.11
0,5,37,33.65
0,5,38,33.09
0,5,39,35.05
0,5,40,34.0
0,5,41,33.59
0,5,42,34.44
0,5,43,33.47
0,5,44,60.59
0,5,45,33.01
0,5,46,32.41
0,5,47,34.37
0,5,48,34.08
0,5,50,33.45
0,5,51,34.5
0,5,52,33.75
0,5,53,34.7
0,5,54,34.83
0,5,55,60.59
0,5,56,34.5
0,5,57,34.05
0,5,58,33.34
0,5,59,35.13
0,6,0,34.69
0,6,1,33.95
0,6,2,33.86
0,6,3,34.22
0,6,4,35.79
0,6,5,60.58
0,6,6,38.34
0,6,7,37.81
0,6,8,36.96
0,6,9,35.93
0,6,10,34.7
0,6,11,34.48
0,6,12,34.29
0,6,13,33.5
0,6,14,34.27
0,6,15,60.59
0,6,16,34.22
0,6,17,34.78
0,6,18,35.9
0,6,19,38.33
0,6,20,46.68
0,6,21,42.55
0,6,22,39.77
0,6,23,45.92
0,6,24,43.36
0,6,25,60.57
0,6,26,41.25
0,6,27,45.17
0,6,28,44.07
0,6,29,46.78
0,6,30,49.8
0,6,31,39.3
0,6,32,47.8
0,6,33,43.84
0,6,34,36.14
0,6,35,60.53
0,6,36,34.1
0,6,37,39.4
0,6,38,37.99
0,6,39,39.14
0,6,40,35.73
0,6,41,35.21
0,6,42,34.34
0,6,43,33.97
0,6,44,44.49
0,6,45,60.62
0,6,46,48.28
0,6,47,42.45
0,6,48,54.42
0,6,49,47.6
0,6,50,44.01
0,6,51,36.81
0,6,52,43.24
0,6,53,46.43
0,6,54,41.48
0,6,55,60.63
0,6,56,42.65
0,6,57,47.44
0,6,58,45.11
0,6,59,42.59
0,7,0,49.26
0,7,1,44.89
0,7,2,45.34
0,7,3,42.88
0,7,4,40.26
0,7,5,60.69
0,7,6,46.51
0,7,7,43.09
0,7,8,46.83
0,7,9,47.13
0,7,10,38.81
0,7,11,39.53
0,7,12,43.83
0,7,13,48.45
0,7,14,53.36
0,7,15,61.28
0,7,16,51.39
0,7,17,47.91
0,7,18,46.22
0,7,19,43.62
0,7,20,43.25
0,7,21,44.79
0,7,22,48.0
0,7,23,49.77
0,7,24,40.64
0,7,25,60.6
0,7,26,45.98
0,7,27,36.15
0,7,28,37.96
0,7,29,46.33
0,7,30,43.27
0,7,31,41.06
0,7,32,38.8
0,7,33,43.89
0,7,34,48.77
0,7,35,60.81
0,7,36,44.89
0,7,37,42.34
0,7,38,49.92
0,7,39,46.0
0,7,40,52.61
0,7,41,43.88
0,7,42,47.76
0,7,43,41.84
0,7,44,43.93
0,7,45,61.58
0,7,47,50.28
0,7,48,47.21
0,7,49,50.11
0,7,50,53.12
0,7,51,57.26
0,7,52,54.7
0,7,53,52.37
0,7,54,53.3
0,7,55,47.73
0,7,56,60.89
0,7,57,56.65
0,7,58,72.82
0,7,59,59.72
0,8,0,63.78
0,8,1,64.83
0,8,2,52.74
0,8,3,51.21
0,8,4,54.44
0,8,5,51.98
0,8,6,60.78
0,8,7,46.23
0,8,8,50.05
0,8,9,63.11
0,8,10,43.18
0,8,11,43.44
0,8,12,44.17
0,8,13,45.47
0,8,14,44.86
0,8,15,43.22
0,8,16,60.65
0,8,17,46.84
0,8,18,42.93
0,8,19,42.75
0,8,20,43.88
0,8,21,42.45
0,8,22,46.83
0,8,23,45.48
0,8,24,46.25
0,8,25,42.26
0,8,26,60.65
0,8,27,46.29
0,8,28,42.46
0,8,29,44.63
0,8,30,51.27
0,8,31,41.27
0,8,32,49.41
0,8,33,45.0
0,8,34,41.99
0,8,35,41.73
0,8,36,60.52
0,8,37,43.0
0,8,38,43.38
0,8,39,41.65
0,8,40,42.95
0,8,41,43.17
0,8,42,42.97
0,8,43,43.44
0,8,44,43.75
0,8,45,42.45
0,8,46,60.49
0,8,47,43.01
0,8,48,43.59
0,8,49,48.06
0,8,50,50.06
0,8,51,49.31
0,8,52,52.28
0,8,53,52.52
0,8,54,50.81
0,8,55,49.09
0,8,56,60.65
0,8,57,42.21
0,8,58,41.83
0,8,59,41.08
0,9,0,40.26
0,9,1,40.95
0,9,2,40.6
0,9,3,41.1
0,9,4,40.64
0,9,5,44.35
0,9,6,60.82
0,9,7,47.69
0,9,8,81.66
0,9,9,41.7
0,9,10,41.62
0,9,11,43.47
0,9,12,42.63
0,9,13,40.62
0,9,14,56.78
0,9,15,47.42
0,9,16,60.92
0,9,17,59.95
0,9,18,53.47
0,9,19,43.26
0,9,20,48.38
0,9,21,45.72
0,9,22,45.81
0,9,23,42.45
0,9,24,54.42
0,9,25,44.87
0,9,26,60.59
0,9,27,53.5
0,9,28,46.96
0,9,29,48.9
0,9,30,50.05
0,9,31,50.45
0,9,32,52.28
0,9,33,50.94
0,9,34,51.52
0,9,35,48.33
0,9,36,60.74
0,9,37,43.99
0,9,38,43.04
0,9,39,46.31
0,9,40,43.05
0,9,41,42.41
0,9,43,46.88
0,9,44,43.23
0,9,45,41.74
0,9,46,41.11
0,9,47,60.65
0,9,48,49.89
0,9,49,40.38
0,9,50,41.25
0,9,51,50.55
0,9,52,48.33
0,9,53,52.95
0,9,54,42.64
0,9,55,58.34
0,9,56,57.77
0,9,57,61.16
0,9,58,41.06
0,9,59,40.38
0,10,0,43.9
0,10,1,42.42
0,10,2,47.74
0,10,3,46.27
0,10,4,42.83
0,10,5,48.3
0,10,6,54.72
0,10,7,61.21
0,10,8,50.06
0,10,9,49.23
0,10,10,50.77
0,10,11,64.26
0,10,12,55.53
0,10,13,48.83
0,10,14,47.66
0,10,15,46.16
0,10,16,50.01
0,10,17,61.31
0,10,18,42.94
0,10,19,41.71
0,10,20,41.83
0,10,21,46.71
0,10,22,43.74
0,10,23,41.67
0,10,24,56.87
0,10,25,46.81
0,10,26,45.95
0,10,27,61.38
0,10,28,45.92
0,10,29,43.33
0,10,30,43.05
0,10,31,41.71
0,10,32,41.65
0,10,33,40.25
0,10,34,40.55
0,10,35,42.16
0,10,36,41.46
0,10,37,60.6
0,10,38,41.08
0,10,39,41.96
0,10,40,41.61
0,10,41,41.13
0,10,42,42.99
0,10,43,44.56
0,10,44,44.11
0,10,45,42.55
0,10,46,41.01
0,10,47,60.59
0,10,48,41.38
0,10,49,42.02
0,10,50,43.0
0,10,51,44.4
0,10,52,47.43
0,10,53,49.44
0,10,54,50.65
0,10,55,50.33
0,10,56,49.33
0,10,57,60.72
0,10,58,51.41
0,10,59,50.29
0,11,0,47.98
0,11,1,45.74
0,11,2,44.27
0,11,3,43.37
0,11,4,42.87
0,11,5,42.48
0,11,6,44.02
0,11,7,60.64
0,11,8,41.07
0,11,9,44.13
0,11,10,44.35
0,11,11,42.47
0,11,12,42.75
0,11,13,42.85
0,11,14,42.98
0,11,15,42.05
0,11,16,45.4
0,11,17,60.62
0,11,18,43.11
0,11,19,41.36
0,11,20,40.48
0,11,21,41.11
0,11,22,40.6
0,11,23,40.86
0,11,24,41.48
0,11,25,43.83
0,11,26,44.74
0,11,27,61.21
0,11,28,48.81
0,11,29,49.68
0,11,30,47.38
0,11,31,48.01
0,11,32,47.44
0,11,33,49.94
0,11,34,43.72
0,11,35,53.89
0,11,36,48.56
0,11,37,60.89
0,11,38,61.82
0,11,40,52.04
0,11,41,50.75
0,11,42,49.05
0,11,43,43.63
0,11,44,44.96
0,11,45,43.18
0,11,46,42.13
0,11,47,40.96
0,11,48,60.54
0,11,49,40.3
0,11,50,70.4
0,11,51,41.01
0,11,52,41.89
0,11,53,42.98
0,11,54,43.34
0,11,55,41.97
0,11,56,40.95
0,11,57,39.98
0,11,58,60.59
0,11,59,40.17
0,12,0,41.28
0,12,1,40.89
0,12,2,41.38
0,12,3,41.59
0,12,4,42.92
0,12,5,44.07
0,12,6,76.21
0,12,7,44.98
0,12,8,60.67
0,12,9,46.53
0,12,10,49.7
0,12,11,51.63
0,12,12,50.52
0,12,13,47.69
0,12,14,47.16
0,12,15,47.53
0,12,16,48.65
0,12,17,51.58
0,12,18,61.37
0,12,19,51.77
0,12,20,49.59
0,12,21,48.05
0,12,22,46.68
0,12,23,44.48
0,12,24,43.25
0,12,25,42.73
0,12,26,43.25
0,12,27,43.1
0,12,28,60.53
0,12,29,42.22
0,12,30,41.31
0,12,31,40.79
0,12,32,40.87
0,12,33,41.7
0,12,34,40.9
0,12,35,40.12
0,12,36,40.95
0,12,37,40.65
0,12,38,60.6
0,12,39,40.89
0,12,40,41.46
0,12,41,41.82
0,12,42,42.83
0,12,43,43.46
0,12,44,45.59
0,12,45,45.75
0,12,46,44.9
0,12,47,45.41
0,12,48,60.77
0,12,49,49.18
0,12,50,50.97
0,12,51,46.38
0,12,52,45.29
0,12,53,44.36
0,12,54,43.77
0,12,55,42.99
0,12,56,43.82
0,12,57,43.36
0,12,58,60.7
0,12,59,44.91
0,13,0,45.19
0,13,1,44.5
0,13,2,44.4
0,13,3,44.05
0,13,4,42.71
0,13,5,41.5
0,13,6,41.06
0,13,7,41.29
0,13,8,60.61
0,13,9,43.31
0,13,10,41.27
0,13,11,39.93
0,13,12,39.95
0,13,13,40.16
0,13,14,40.72
0,13,15,40.74
0,13,16,39.26
0,13,17,39.63
0,13,18,60.61
0,13,19,39.95
0,13,20,39.85
0,13,21,39.69
0,13,22,40.77
0,13,23,41.05
0,13,24,41.78
0,13,25,41.5
0,13,26,42.21
0,13,27,42.98
0,13,28,60.61
0,13,29,42.63
0,13,30,41.37
0,13,31,40.37
0,13,32,40.98
0,13,33,40.45
0,13,34,42.05
0,13,35,40.24
0,13,37,39.42
0,13,38,40.46
0,13,39,60.55
0,13,40,41.42
0,13,41,39.94
0,13,42,40.9
0,13,43,39.66
0,13,44,39.45
0,13,45,40.14
0,13,46,40.12
0,13,47,40.49
0,13,48,43.15
0,13,49,60.95
0,13,50,46.06
0,13,51,44.02
0,13,52,47.07
0,13,53,52.93
0,13,54,52.88
0,13,55,47.0
0,13,56,43.71
0,13,57,41.94
0,13,58,42.14
0,13,59,60.5
0,14,0,41.14
0,14,1,40.85
0,14,2,40.52
0,14,3,41.76
0,14,4,41.58
0,14,5,41.83
0,14,6,43.1
0,14,7,44.03
0,14,8,45.47
0,14,9,60.66
0,14,10,49.03
0,14,11,50.3
0,14,12,52.43
0,14,13,48.27
0,14,14,47.6
0,14,15,47.18
0,14,16,49.26
0,14,17,46.75
0,14,18,45.31
0,14,19,60.68
0,14,20,43.77
0,14,21,42.93
0,14,22,44.1
0,14,23,43.19
0,14,24,50.57
0,14,25,48.6
0,14,26,42.54
0,14,27,43.87
0,14,28,40.53
0,14,29,60.53
0,14,30,42.01
0,14,31,39.58
0,14,32,38.92
0,14,33,39.3
0,14,34,39.01
0,14,35,44.92
0,14,36,47.76
0,14,37,43.13
0,14,38,44.99
0,14,39,60.55
0,14,40,43.71
0,14,41,50.65
0,14,42,44.62
0,14,43,45.6
0,14,44,45.14
0,14,45,41.61
0,14,46,42.31
0,14,47,42.29
0,14,48,46.15
0,14,49,60.71
0,14,50,47.03
0,14,51,51.04
0,14,52,53.68
0,14,53,52.74
0,14,54,53.18
0,14,55,53.42
0,14,56,53.11
0,14,57,44.58
0,14,58,47.51
0,14,59,60.92
0,15,0,47.82
0,15,1,44.75
0,15,2,43.67
0,15,3,41.37
0,15,4,43.05
0,15,5,40.86
0,15,6,47.23
0,15,7,46.23
0,15,8,43.24
0,15,9,60.61
0,15,10,40.63
0,15,11,39.57
0,15,12,39.55
0,15,13,39.42
0,15,14,43.41
0,15,15,43.48
0,15,16,42.94
0,15,17,41.83
0,15,18,40.61
0,15,19,60.64
0,15,20,41.45
0,15,21,46.0
0,15,22,45.31
0,15,23,44.12
0,15,24,40.55
0,15,25,42.59
0,15,26,48.01
0,15,27,47.57
0,15,28,43.08
0,15,29,60.87
0,15,30,46.63
0,15,31,47.35
0,15,33,45.51
0,15,34,47.35
0,15,35,47.86
0,15,36,44.62
0,15,37,42.34
0,15,38,42.71
0,15,39,41.8
0,15,40,60.61
0,15,41,44.84
0,15,42,43.75
0,15,43,42.71
0,15,44,42.91
0,15,45,42.6
0,15,46,41.54
0,15,47,41.65
0,15,48,41.12
0,15,49,43.28
0,15,50,61.3
0,15,51,42.23
0,15,52,42.79
0,15,53,43.03
0,15,54,42.62
0,15,55,42.34
0,15,56,41.72
0,15,57,41.66
0,15,58,45.97
0,15,59,40.77
0,16,0,60.34
0,16,1,41.73
0,16,2,41.04
0,16,3,41.2
0,16,4,41.65
0,16,5,41.09
0,16,6,41.45
0,16,7,41.64
0,16,8,42.03
0,16,9,42.63
0,16,10,60.34
0,16,11,45.11
0,16,12,44.45
0,16,13,45.09
0,16,14,47.04
0,16,15,48.16
0,16,16,51.35
0,16,17,53.91
0,16,18,54.86
0,16,19,54.75
0,16,20,61.18
0,16,21,52.54
0,16,22,49.66
0,16,23,47.88
0,16,24,47.21
0,16,25,45.53
0,16,26,44.98
0,16,27,44.63
0,16,28,43.2
0,16,29,42.76
0,16,30,60.62
0,16,31,41.4
0,16,32,40.76
0,16,33,40.7
0,16,34,40.51
0,16,35,39.89
0,16,36,40.68
0,16,37,40.28
0,16,38,40.3
0,16,39,40.87
0,16,40,60.62
0,16,41,40.94
0,16,42,40.02
0,16,43,40.46
0,16,44,40.92
0,16,45,41.8
0,16,46,44.89
0,16,47,49.7
0,16,48,51.66
0,16,49,54.93
0,16,50,61.19
0,16,51,49.77
0,16,52,49.92
0,16,53,49.14
0,16,54,48.17
0,16,55,48.46
0,16,56,49.15
0,16,57,47.83
0,16,58,45.71
0,16,59,45.13
0,17,0,60.62
0,17,1,44.0
0,17,2,43.49
0,17,3,41.82
0,17,4,41.94
0,17,5,41.24
0,17,6,41.01
0,17,7,41.5
0,17,8,42.2
0,17,9,41.95
0,17,10,60.58
0,17,11,43.57
0,17,12,44.55
0,17,13,44.07
0,17,14,44.71
0,17,15,44.38
0,17,16,43.38
0,17,17,41.64
0,17,18,40.44
0,17,19,40.54
0,17,20,60.51
0,17,21,39.99
0,17,22,39.34
0,17,23,39.83
0,17,24,39.32
0,17,25,39.58
0,17,26,39.9
0,17,27,40.03
0,17,28,40.25
0,17,30,40.28
0,17,31,60.62
0,17,32,43.73
0,17,33,45.37
0,17,34,47.2
0,17,35,48.05
0,17,36,48.08
0,17,37,47.23
0,17,38,45.48
0,17,39,43.39
0,17,40,43.03
0,17,41,60.58
0,17,42,43.01
0,17,43,41.66
0,17,44,41.89
0,17,45,42.55
0,17,46,43.0
0,17,47,41.55
0,17,48,41.28
0,17,49,40.94
0,17,50,40.27
0,17,51,60.53
0,17,52,39.83
0,17,53,40.81
0,17,54,47.28
0,17,55,47.79
0,17,56,41.33
0,17,57,41.42
0,17,58,41.98
0,17,59,41.03
0,18,0,40.88
0,18,1,60.62
0,18,2,40.92
0,18,3,42.07
0,18,4,41.19
0,18,5,40.69
0,18,6,40.49
0,18,7,40.88
0,18,8,40.39
0,18,9,40.01
0,18,10,39.77
0,18,11,60.62
0,18,12,39.36
0,18,13,39.81
0,18,14,39.94
0,18,15,39.63
0,18,16,39.17
0,18,17,39.36
0,18,18,40.1
0,18,19,40.8
0,18,20,40.57
0,18,21,60.63
0,18,22,40.06
0,18,23,40.24
0,18,24,40.04
0,18,25,39.79
0,18,26,41.07
0,18,27,39.72
0,18,28,39.86
0,18,29,39.93
0,18,30,40.38
0,18,31,60.62
0,18,32,40.21
0,18,33,40.13
0,18,34,39.7
0,18,35,39.71
0,18,36,40.75
0,18,37,42.01
0,18,38,42.24
0,18,39,40.84
0,18,40,40.56
0,18,41,60.58
0,18,42,40.38
0,18,43,41.15
0,18,44,42.8
0,18,45,46.17
0,18,46,48.47
0,18,47,53.46
0,18,48,51.21
0,18,49,46.35
0,18,50,44.19
0,18,51,60.65
0,18,52,42.46
0,18,53,41.84
0,18,54,41.39
0,18,55,40.65
0,18,56,39.69
0,18,57,39.49
0,18,58,39.16
0,18,59,39.1
0,19,0,39.29
0,19,1,60.6
0,19,2,40.12
0,19,3,40.26
0,19,4,40.72
0,19,5,41.03
0,19,6,41.73
0,19,7,43.05
0,19,8,41.28
0,19,9,39.59
0,19,10,39.97
0,19,11,60.61
0,19,12,40.44
0,19,13,40.21
0,19,14,40.04
0,19,15,39.78
0,19,16,39.73
0,19,17,39.6
0,19,18,39.99
0,19,19,39.08
0,19,20,39.34
0,19,21,60.6
0,19,22,39.79
0,19,23,40.05
0,19,24,40.33
0,19,26,40.1
0,19,27,40.65
0,19,28,40.71
0,19,29,42.33
0,19,30,43.9
0,19,31,44.42
0,19,32,60.71
0,19,33,45.57
0,19,34,46.87
0,19,35,49.4
0,19,36,48.42
0,19,37,47.1
0,19,38,47.52
0,19,39,48.01
0,19,40,48.46
0,19,41,48.33
0,19,42,60.74
0,19,43,45.95
0,19,44,45.41
0,19,45,44.7
0,19,46,43.82
0,19,47,42.93
0,19,48,43.55
0,19,49,42.53
0,19,50,48.79
0,19,51,46.24
0,19,52,60.61
0,19,53,41.4
0,19,54,41.57
0,19,55,41.19
0,19,56,41.4
0,19,57,41.16
0,19,58,41.07
0,19,59,41.45
0,20,0,43.08
0,20,1,41.19
0,20,2,60.6
0,20,3,41.38
0,20,4,41.3
0,20,5,41.71
0,20,6,41.59
0,20,7,41.91
0,20,8,41.68
0,20,9,41.76
0,20,10,42.93
0,20,11,42.65
0,20,12,60.8
0,20,13,45.11
0,20,14,46.86
0,20,15,50.35
0,20,16,53.48
0,20,17,56.87
0,20,18,56.06
0,20,19,54.44
0,20,20,53.01
0,20,21,52.09
0,20,22,60.86
0,20,23,49.6
0,20,24,47.28
0,20,25,45.82
0,20,26,44.72
0,20,27,43.8
0,20,28,42.73
0,20,29,42.31
0,20,30,41.73
0,20,31,41.53
0,20,32,60.54
0,20,33,40.39
0,20,34,40.88
0,20,35,40.21
0,20,36,40.03
0,20,37,40.35
0,20,38,41.23
0,20,39,40.37
0,20,40,40.27
0,20,41,40.72
0,20,42,60.11
0,20,43,40.24
0,20,44,42.05
0,20,45,40.23
0,20,46,39.61
0,20,47,39.52
0,20,48,40.05
0,20,49,40.83
0,20,50,45.96
0,20,51,46.75
0,20,52,60.64
0,20,53,47.14
0,20,54,45.58
0,20,55,44.71
0,20,56,43.33
0,20,57,43.22
0,20,58,43.03
0,20,59,43.51
0,21,0,43.75
0,21,1,43.97
0,21,2,60.69
0,21,3,46.18
0,21,4,46.09
0,21,5,46.34
0,21,6,45.01
0,21,7,43.44
0,21,8,42.28
0,21,9,42.13
0,21,10,41.61
0,21,11,41.87
0,21,12,60.64
0,21,13,43.31
0,21,14,42.98
0,21,15,44.02
0,21,16,42.33
0,21,17,42.35
0,21,18,41.56
0,21,19,41.17
0,21,20,41.45
0,21,21,41.14
0,21,23,60.58
0,21,24,41.18
0,21,25,41.95
0,21,26,40.07
0,21,27,39.71
0,21,28,40.95
0,21,29,40.17
0,21,30,39.96
0,21,31,41.12
0,21,32,43.02
0,21,33,60.6
0,21,34,46.1
0,21,35,48.67
0,21,36,48.98
0,21,37,48.21
0,21,38,46.65
0,21,39,44.99
0,21,40,46.18
0,21,41,49.36
0,21,42,48.6
0,21,43,60.73
0,21,44,46.57
0,21,45,46.3
0,21,46,46.21
0,21,47,45.57
0,21,48,44.38
0,21,49,43.11
0,21,50,42.73
0,21,51,43.68
0,21,52,42.57
0,21,53,60.65
0,21,54,42.22
0,21,55,42.22
0,21,56,42.18
0,21,57,43.16
0,21,58,45.75
0,21,59,50.22
0,22,0,55.99
0,22,1,58.28
0,22,2,56.46
0,22,3,61.21
0,22,4,50.7
0,22,5,47.34
0,22,6,45.34
0,22,7,44.04
0,22,8,42.78
0,22,9,43.96
0,22,10,42.75
0,22,11,42.46
0,22,12,42.81
0,22,13,60.59
0,22,14,44.23
0,22,15,43.48
0,22,16,43.39
0,22,17,42.75
0,22,18,42.93
0,22,19,42.33
0,22,20,42.64
0,22,21,41.77
0,22,22,42.34
0,22,23,60.78
0,22,24,42.31
0,22,25,42.83
0,22,26,42.69
0,22,27,43.53
0,22,28,46.72
0,22,29,47.49
0,22,30,46.02
0,22,31,44.23
0,22,32,42.91
0,22,33,60.77
0,22,34,42.59
0,22,35,43.04
0,22,36,42.61
0,22,37,42.84
0,22,38,41.81
0,22,39,42.81
0,22,40,44.07
0,22,41,44.55
0,22,42,44.76
0,22,43,60.44
0,22,44,45.01
0,22,45,45.5
0,22,46,43.54
0,22,47,43.23
0,22,48,42.74
0,22,49,42.96
0,22,50,42.62
0,22,51,43.73
0,22,52,44.45
0,22,53,60.7
0,22,54,45.08
0,22,55,47.47
0,22,56,50.93
0,22,57,55.67
0,22,58,53.98
0,22,59,52.74
0,23,0,50.11
0,23,1,47.32
0,23,2,47.22
0,23,3,60.53
0,23,4,43.82
0,23,5,41.84
0,23,6,41.53
0,23,7,42.52
0,23,8,42.19
0,23,9,43.21
0,23,10,45.32
0,23,11,47.11
0,23,12,47.54
0,23,13,60.84
0,23,14,45.89
0,23,15,45.7
0,23,16,44.36
0,23,17,43.78
0,23,18,42.25
0,23,20,42.05
0,23,21,42.25
0,23,22,41.78
0,23,23,42.25
0,23,24,60.4
0,23,25,41.25
0,23,26,40.41
0,23,27,41.05
